情景编号,问题2原方案损失_万元,问题3调整方案损失_万元
1,115.30297786566086,98.90658967015537
2,114.47003576870108,98.18424788159243
3,111.45229688519966,95.50183827782546
4,112.17086231433697,96.12708135457963
5,110.63612835396916,94.82744639783084
6,114.4382700821137,98.16199034944918
7,110.98519813402075,95.16421422763355
8,110.0388364277928,94.34968516141973
9,112.37930395025394,96.36643526059015
10,113.59155054137739,97.35903819260186
11,118.43286976934333,101.44444197581802
12,110.32082610206253,94.53438929580685
13,119.87042775209763,102.5969548324846
14,111.73809120308087,95.74354724149251
15,114.41609901691334,98.0761429682357
16,112.52423830909837,96.39655734451864
17,113.63781281637293,97.44341679308295
18,111.37656613080526,95.46958906026977
19,110.54756784626456,94.67547056237888
20,112.43577744054267,96.31273593941916
21,115.68778955164397,99.21958351601117
22,117.8835544693772,100.94528778342126
23,116.23934702814965,99.37396431575851
24,110.01345459014306,94.32894427806413
25,111.11444687147272,95.1513519711662
26,111.33829484838249,95.42303751892366
27,112.84560066780939,96.69383789295128
28,111.17001310903876,95.22702080640332
29,112.04360113615988,96.03027869480906
30,113.24819308493524,97.09296585069438
31,111.03957117590721,95.20734403117436
32,115.20330277901283,98.71421572400439
33,117.26460022307063,100.4124469887832
34,111.96778828259124,96.01211984617856
35,113.88690726363795,97.5424014279351
36,113.12014159667565,96.96308089614013
37,109.96337963727333,94.0879419966499
38,116.19278743144277,99.75532247455206
39,117.30048617085531,100.46090308032132
40,118.95090320311786,101.74285286765814
41,116.09425214962076,99.30353834688646
42,110.6505062297079,94.8086171510364
43,116.00368632871321,99.30100807428374
44,110.50199182267568,94.6364421482258
45,111.13541824667988,95.17829792431982
46,112.89799205413158,96.72728004688624
47,113.41907276172134,97.26136273719669
48,121.9610302772298,104.44853642799224
49,110.17770169327773,94.34360470401924
50,111.44067493254484,95.57032867977074
51,114.51627989443548,98.18364975928759
52,113.74849766495385,97.5140684113621
53,113.53647102274178,97.27362991419446
54,113.58767587673856,97.3424369934443
55,114.02892351135179,97.70219214898425
56,113.13143429293754,96.9529443110965
57,110.03833381633532,94.25785069680697
58,117.80801521758951,100.82781061926525
59,110.77018730019182,95.00903628305983
60,116.70235998110981,100.1483589545766
61,110.0278524099582,94.24492692072982
62,110.36118540629784,94.5284093239106
63,120.38910370354176,103.0065591701217
64,107.78377957494479,92.398296620582
65,108.70654021231542,93.21098449529569
66,115.46385862077926,99.0946842934929
67,115.37869211691103,99.02005236395958
68,111.80853166708187,95.86083377298347
69,112.05466393003245,96.06421945156684
70,108.94223122470133,93.31536421923197
71,112.18459639683655,96.04827724414613
72,112.12547797577577,96.07317182221442
73,115.15828062132468,98.7572498741132
74,112.59646785944096,96.43425393145877
75,112.4225634153775,96.32228038324297
76,109.9722037929345,94.20370154067973
77,109.53778335973898,93.96609095433493
78,113.02386612422613,96.87954445701298
79,111.93632953429199,95.90379002017156
80,110.5142752221669,94.69438226082104
81,114.28030285497168,97.97445116634977
82,112.87047974899059,96.69924532360326
83,112.42558387698516,96.36896454723718
84,111.63930285299828,95.65781538080859
85,113.85913507535324,97.64879918602527
86,109.18378641354343,93.66594479949376
87,109.86530285559283,94.09819748904633
88,112.66451615091799,96.51518423987122
89,117.33352023324889,100.7027985003024
90,113.53179800512041,97.25834037295884
91,114.230826381292,97.8050380828767
92,114.29914299319807,97.9837060522173
93,112.57628335379457,96.50854844094252
94,112.27071173399509,96.09378505858291
95,112.12510139118864,96.06870224940431
96,117.59528293704642,100.89638070211804
97,114.02559213305443,97.70235799783356
98,115.0570081643433,98.73384370755608
99,118.7992143248555,101.90763729211002
100,115.93166371669966,99.49178465276283
101,114.65086484356867,98.07972999430277
102,111.1965051078535,95.20688232747962
103,117.1947789091861,100.21768566486863
104,108.77289366818079,93.21141887807659
105,109.11443941528378,93.60291568736315
106,112.91336187713641,96.7858391936264
107,113.46750981756459,97.26240827697364
108,112.73631689495296,96.62722640126015
109,112.64573424824331,96.48734843713359
110,112.3677116377087,96.31969490492042
111,119.40783518121435,102.19957086579448
112,112.02119969302981,96.0042076811236
113,113.07851076174887,96.71008065785549
114,111.5298795218554,95.63449899112254
115,114.95589829044569,98.6662183384109
116,113.76873726173109,97.40071686578707
117,109.22478709442284,93.67554624393108
118,113.17403827187165,97.02839682333317
119,113.53908232321525,97.25235651869077
120,109.6534875442798,93.94305851922297
121,113.84497720845457,97.37705508416174
122,116.64594896003901,99.78535962937244
123,112.38965004394815,96.31963971128611
124,112.04243941845053,96.05494108473559
125,113.48335708983466,97.30169964907186
126,117.8407644598333,100.88920710641762
127,119.1115557776285,101.98361061457135
128,113.55684287493281,97.31103620141576
129,109.79565293328734,94.23827144503039
130,111.5473485232027,95.56213333778635
131,111.68969118271451,95.67922054125225
132,112.69669764364197,96.60731714665503
133,114.3179270965412,97.89167861854155
134,114.71916768780225,98.38020249671115
135,111.67976750091559,95.76034317683308
136,110.68027980523308,94.82232558579192
137,112.86030739802078,96.72494881805376
138,114.29623568461133,97.96614877364456
139,112.85071381040247,96.68130997923622
140,111.89324509308562,95.85220075241878
141,115.72430331755321,99.40778858141499
142,115.30460577896288,98.91832857672799
143,113.02202593797642,96.85753228969713
144,111.72320642276667,95.73835604082328
145,111.54855861428395,95.62411280594497
146,111.87431910714892,95.84962855971476
147,112.76352602847835,96.60483209485432
148,114.90280284583602,98.47445916507608
149,122.04006075682636,104.65108130477607
150,115.4340810743646,99.1258026565647
151,111.8189267843804,95.65678764068687
152,112.62830607561386,96.508874119258
153,110.81821080915208,94.86046902816247
154,110.34426677166485,94.54278360245932
155,111.7292129614898,95.75738771492632
156,111.38391354837822,95.48879190066731
157,117.39307454206487,100.71175904758391
158,116.47038160277333,100.01022713687685
159,113.97632123936602,97.51325465028742
160,110.81040873985731,95.00902027031712
161,113.49886039063546,97.33736023336425
162,111.96715024413025,95.92725218573833
163,112.1755319445132,96.14340273399941
164,121.82847672244277,104.22871768983495
165,112.96657716701404,96.77022017192891
166,113.74141020778043,97.46978672793378
167,111.82296455046452,95.87265251143765
168,112.5697471767285,96.50931558736946
169,113.8730175439938,97.49374289408556
170,115.80427309489694,99.1150444613105
171,111.86107602637617,95.77320150761462
172,114.08027714383894,97.8006675581764
173,112.17780357465094,96.17227504562476
174,115.40090163656427,98.72725705202348
175,115.2779442360156,98.71714112971944
176,111.30151400272035,95.34472518487036
177,112.85054330498365,96.76786095045802
178,112.62200275218203,96.4854749360214
179,111.5351481227095,95.75146316627001
180,113.3578578830337,97.1847253185553
181,115.79044574076632,99.38628771034459
182,112.20020177624455,96.14790265033653
183,111.79154674290834,95.8716002575022
184,114.14514229667637,97.81366588256661
185,108.65440022567944,93.13260388562449
186,111.97020030040052,95.85209512603772
187,117.04084359677938,100.34235358623748
188,109.63133197242524,94.00821445835271
189,123.40052586985202,105.78760445679248
190,114.18400027392329,97.83936205512225
191,108.37196185125956,92.86382484985884
192,112.28435463228953,96.18924646023657
193,111.39574555079817,95.45823944959204
194,113.42202700166283,97.40205622150731
195,111.39823193760131,95.47768453011318
196,115.54867270942266,98.96936216246866
197,111.04508796577556,95.12825703543083
198,113.97463718653765,97.70268693909647
199,112.59651803443053,96.47868635926604
200,116.19892066636791,99.52002625294072
201,111.649828195884,95.65332994113392
202,111.91524032873713,95.9326673863645
203,110.87552383107935,95.10191222477124
204,118.82140258434102,101.7207915562718
205,112.83913403157138,96.70037753261128
206,113.28511206399143,97.06581525254451
207,114.27860032760461,98.02103506788546
208,113.53722084399737,97.3141318999357
209,112.90908702425618,96.6933629206967
210,111.91196986499924,95.94138492290122
211,110.27302048851811,94.56592372053007
212,119.29190937376715,102.11200389357634
213,114.64109524909655,98.36641558769401
214,112.53932548406704,96.46517995789638
215,120.5765597828919,103.16216341101581
216,114.72331805535107,98.48678293530241
217,116.15519067134954,99.53779670816184
218,112.5501162846347,96.68386506098254
219,111.65293039209496,95.68879053065109
